GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
iSeries,iseries,App,17,0,0,0,4,0,3,0,3,0
iSeries,iseries.controller,ExceptionHandlerController,5,0,0,0,2,0,2,0,2,0
iSeries,iseries.controller,AdministradorController,14,0,0,0,4,0,2,0,2,0
iSeries,iseries.controller,HomeController,7,0,0,0,3,0,3,0,3,0
iSeries,iseries.controller,TemporadaController,45,0,2,0,12,0,4,0,3,0
iSeries,iseries.controller,SerieController,332,0,12,0,58,0,13,0,7,0
iSeries,iseries.controller,LoginController,21,0,2,0,7,0,4,0,3,0
iSeries,iseries.controller,UsuarioController,211,0,10,0,40,0,12,0,7,0
iSeries,iseries.util,FileUtil,27,0,0,0,8,0,2,0,2,0
iSeries,iseries.model,Temporada,80,0,0,0,28,0,13,0,13,0
iSeries,iseries.model,Comentario,82,0,0,0,34,0,17,0,17,0
iSeries,iseries.model,SerieDTO,3,0,0,0,1,0,1,0,1,0
iSeries,iseries.model,UsuarioDTO,56,0,0,0,23,0,11,0,11,0
iSeries,iseries.model,Episodio,41,0,0,0,15,0,7,0,7,0
iSeries,iseries.model,Serie,211,0,0,0,56,0,26,0,26,0
iSeries,iseries.model,Usuario,124,0,0,0,49,0,21,0,21,0
iSeries,iseries.interceptor,MyInterceptor,5,0,0,0,2,0,2,0,2,0
iSeries,iseries.config,AppConfig,9,0,0,0,3,0,2,0,2,0
